player_id;player_name;team_id;position;matches_played;matches_started;minutes_played;goals;assists;shots;shots_on_target;yellow_cards;red_cards;penalty_goals;own_goals;clean_sheets;saves;goals_conceded;;average_rating
1070;Axel Tuanzebe;42;DEF;4;4;360;0;0;0;;0;0;0;0;;;;;6.68
1071;Dylan Buduka Batubinsika;42;DEF;0;0;0;;;;;;;0;0;;;;;
1072;NgalÕayel Mukau;42;MID;4;3;197;0;0;1;;0;0;0;0;;;;;6.55
1073;Nathana‘l Mbuku;42;MID;3;2;144;0;0;3;;1;0;0;0;;;;;6.73
1074;Samuel Alain Moutoussamy;42;MID;4;4;333;0;0;3;;1;0;0;0;;;;;6.78
1075;Kibambe Brian Cipenga;42;FWD;2;2;148;1;0;6;;0;0;0;0;;;;;6.75
1076;Theo Mbulofeko Batombo Bongonda;42;MID;2;0;32;0;0;;;0;0;0;0;;;;;
1077;Ga‘l RomŽo Kakuta;42;FWD;0;0;0;;;;;;;0;0;;;;;
1078;Joris Kayembe;42;DEF;4;0;43;0;0;1;;0;0;0;0;;;;;6.78
1079;Meschack Lina Elia;42;FWD;2;0;44;0;1;2;;0;0;0;0;;;;;6.7
1080;Noah Junior Sadiki;42;MID;4;2;257;0;0;0;;2;0;0;0;;;;;6.83
1081;Tshibola Tshibola;42;MID;0;0;0;;;;;;;0;0;;;;;
1082;Timothy Bruce Munzoko Fayulu;42;GK;0;0;0;;;;;;;0;0;0;0;0;;
1083;Cedric Bakambu;42;FWD;3;3;193;0;0;3;;0;0;0;0;;;;;6.4
1084;Charles Monginda Pickel;42;MID;2;0;35;0;0;1;;1;0;0;0;;;;;6.5
1085;Mayele Fiston Mayele;42;FWD;2;0;40;1;0;5;;0;0;0;0;;;;;6.6
1086;Yoane Wissa;42;FWD;4;4;360;3;0;11;;0;0;0;0;;;;;7.13
1087;Matthieu Luka Epolo;42;GK;0;0;0;;;;;;;0;0;0;0;0;;
1088;Mangulu Chancel Mbemba;42;DEF;4;4;360;0;0;1;;1;0;0;0;;;;;6.8
1089;Simon Bokote Banza;42;FWD;2;0;38;0;0;0;;0;0;0;0;;;;;6.5
1090;GŽdŽon Tchingoma Kyatengwa Kalulu;42;DEF;1;0;5;0;0;;;0;0;0;0;;;;;
1091;Edo Kayembe Kayembe;42;MID;3;2;159;0;0;2;;0;0;0;0;;;;;6.47
1092;Arthur Fuka Masuaku;42;DEF;4;4;317;0;1;0;;0;0;0;0;;;;;6.85
1093;Utkir Yusupov;43;GK;1;1;90;0;0;0;;0;0;0;0;0;6;3;;5.4
1094;Abdukodir Khusanov;43;DEF;3;3;270;0;0;0;;2;0;0;1;;;;;6.13
1095;Khojiakbar Alijonov;43;DEF;2;1;134;0;0;0;;0;0;0;0;;;;;6.15
1096;Farrukh Sayfiev;43;DEF;1;0;44;0;0;0;;0;0;0;0;;;;;6.3
1097;Rustamjon Ashurmatov;43;DEF;3;3;257;0;0;0;;0;0;0;0;;;;;6.2
1098;Akmal Mozgovoy;43;MID;3;2;216;0;1;1;;0;0;0;0;;;;;6.57
1099;Otabek Shukurov;43;MID;3;3;238;0;0;2;;0;0;0;0;;;;;6.6
1100;Jamshid Iskanderov;43;MID;1;0;8;0;0;0;;0;0;0;0;;;;;6.3
1101;Odiljon Xamrobekov;43;MID;2;1;78;0;0;1;;1;0;0;0;;;;;5.95
1102;Ruslanbek Jiyanov;43;MID;1;0;1;0;0;0;;0;0;0;0;;;;;0
1103;Oston Urunov;43;MID;2;1;63;0;0;0;;0;0;0;0;;;;;6.35
1104;Abduvakhid Nematov;43;GK;2;2;180;0;0;0;;0;0;0;0;0;4;8;;6.15
1105;Sherzod Nasrullaev;43;DEF;3;3;182;0;0;1;;1;0;0;0;;;;;6.4
1106;Eldor Shomurodov;43;FWD;3;3;270;1;0;4;;0;0;0;0;;;;;6.57
1107;Umarbek Eshmurodov;43;DEF;0;0;0;;;;;;;0;0;;;;;
1108;Botirali Ergashev;43;GK;0;0;0;;;;;;;0;0;0;0;0;;
1109;Dostonbek Khamdamov;43;MID;2;1;102;0;0;2;;0;0;0;0;;;;;6.45
1110;Abdulla Abdullaev;43;DEF;2;2;180;0;0;0;;0;0;0;0;;;;;6.4
1111;Azizjon Ganiev;43;MID;2;1;122;0;0;1;;0;0;0;0;;;;;6.7
1112;Azizbek Amonov;43;FWD;1;0;13;0;0;1;;0;0;0;0;;;;;6.4
